field_id	title	notes
404	Duration to first press of snap-button in each round	This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same. <p>Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.
630	Touchscreen duration	
670	Type of accommodation lived in	ACE touchscreen question "What type of accommodation do you live in?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please select:<br><br>A house or bungalow for any whole, detached, semi-detached<br>or terraced (including end-terrace) house or bungalow.<br><br>A flat, maisonette, or apartment for any purpose-built<br>block of flats or tenement, part of a converted or shared<br>house (including bed-sits) or within a commercial building<br>(for example in an office building, or hotel, or over a shop).<br><br>If none of the options apply, select None of the above.<br></i></td></tr></table>
680	Own or rent accommodation lived in	ACE touchscreen question "Do you own or rent the accommodation that you live in?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please select:<br> - Own outright if you or someone in your household<br>owns the accommodation that you live in.<br> - Own with mortagage if you or someone in your<br>household has a mortagage on the accommodation<br>that you live in.<br></i></td></tr></table><p>~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~
699	Length of time at current address	ACE touchscreen question "How many years have you lived at your current address?"<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have lived there for less than one year select Less than a year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have lived at your current address at different times, add up<br>the total number of years you lived there. For instance if you lived<br>at your current address for 3 years, moved overseas for one year and<br>returned to your current address for another 5 years, then you would<br>enter 8 years.<br></i></td></tr></table>
709	Number in household	ACE touchscreen question "Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)"<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > 100 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you live alone, enter 1.<br>Include those who usually live in the house such as students living away<br>from home during term, partners in the armed forces or professions such as<br>pilots.<br></i></td></tr></table><p>~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~
728	Number of vehicles in household	ACE touchscreen question "How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) "<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Do not include motorcycles.<br></i></td></tr></table><p>~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~
738	Average total household income before tax	ACE touchscreen question "What is the average total income before tax received by your HOUSEHOLD?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure of annual household income here are<br>the weekly and monthly equivalents:<br><br>Annual    Monthly   Weekly<br><br>less than &pound;18,000  less than &pound;1,500  less than &pound;346<br>&pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576<br>&pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999<br>&pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923<br>greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923 <br></i></td></tr></table><p>~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~
757	Time employed in main current job	ACE touchscreen question "How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > Participants age - 10 years then rejected</li><li>If answer > Participants age - 16 years then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only (ie: the job that you spend most of your time doing).<br>If you have been with the same employer, but have changed jobs whilst you<br>have worked for them, then only give the number of years that you have been<br>in your current job (not the number of years that you have been employed by<br>the same company). For instance, if you have worked as mail-room sorter but<br>then been promoted to manager of the mail-room, please give the number of years<br>you have worked as the mail-room manager only.<br>If you have changed employers, but have had the same job, please give the total<br>number of years that you have worked in that job.  For instance, if you have<br>worked as a cleaner for 3 different companies, please give the total number of<br>years working as a cleaner.<br></i></td></tr></table><p>~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~
767	Length of working week for main job	ACE touchscreen question "In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"<p>The following checks were performed:<ul><li>If answer > 160 then rejected</li><li>If answer < 1 then participant asked to confirm</li><li>If answer > 74 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question<br>for your MAIN job only.<br></i></td></tr></table><p>~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~
777	Frequency of travelling from home to job workplace	ACE touchscreen question "How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 999 then rejected</li><li>If answer > 99 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the number of times varies each week, take an average over the last 4 weeks.<br>If you only work from home please enter 0<br><br></i></td></tr></table><p>~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~
796	Distance between home and job workplace	ACE touchscreen question "About how many miles is it between your home and your work? "<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 9999 then rejected</li><li>If answer > 70 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you only work from home please enter 0<br></i></td></tr></table><p>~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~
806	Job involves mainly walking or standing	ACE touchscreen question "Does your work involve walking or standing for most of the time?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer<br>this question your MAIN job only.<br></i></td></tr></table><p>~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
816	Job involves heavy manual or physical work	ACE touchscreen question "Does your work involve heavy manual or physical work?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question for your<br>MAIN job only.<br>Physical work includes work that involves handling of heavy objects and use<br>of heavy tools.<br></i></td></tr></table><p>~F816~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
826	Job involves shift work	ACE touchscreen question "Does your work involve shift work?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you have more than one 'current job' then answer this question<br>for your MAIN job only.<br>Shift work is a work schedule that falls outside of the normal daytime<br>working hours of 9am-5pm.  This may involve working afternoons, evenings<br>or nights or rotating through these kinds of shifts.<br></i></td></tr></table><p>~F826~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
845	Age completed full time education	ACE touchscreen question "At what age did you complete your continuous full time education?"<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer > 40 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the age that you completed 'continuous' full time education.<br>For example, if you stopped your studies when you were 17 years old with<br>the intention that you had completed your studies but then returned to<br>full time studies when you were 24, enter 17.<br>However if you only temporarily stopped your studies at 17 with the<br>intention that you would return to studies (for instance a gap year)<br>and then completed your full time education at 21, enter 21.<br></i></td></tr></table><p>~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~
864	Number of days/week walked 10+ minutes	ACE touchscreen question "In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you walk for at least 10 minutes<br>continuously at a time.<br></i></td></tr></table>
874	Duration of walks	ACE touchscreen question "How many minutes did you usually spend walking on a typical DAY?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of minutes that you usually spend walking in one day.<br>If the time you usually spend walking on each day of the week varies a<br>lot, give an average of the time you spend walking. For instance if on<br>one day of the week you usually walk for 4 hours but on the other day<br>you walk 2 hours then give the average - that is 3 hours.<br></i></td></tr></table><p>~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~
884	Number of days/week of moderate physical activity 10+ minutes	ACE touchscreen question "In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace?  (Do not include walking)"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you do moderate physical activities<br>for at least 10 minutes continuously at a time. Remember to include activities<br>that you do for work, leisure, travel and around the house.<br></i></td></tr></table>
894	Duration of moderate activity	ACE touchscreen question "How many minutes did you usually spend doing moderate activities on a typical DAY?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you usually spend doing moderate physical activity on each day<br>of the week varies a lot, give an average of the time you spend doing moderate<br>physical activity.<br></i></td></tr></table><p>~F894~ was collected from participants who indicated that they did moderate physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to question ~F884~
904	Number of days/week of vigorous physical activity 10+ minutes	ACE touchscreen question "In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting)"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 7 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Count the number of days in a week that you do vigorous physical activities for<br>at least 10 minutes continuously at a time. Remember to include activities that<br>you do for work, leisure, travel and around the house.<br></i></td></tr></table>
914	Duration of vigorous activity	ACE touchscreen question "How many minutes did you usually spend doing vigorous activities on a typical DAY?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 1440 then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 300 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you usually spend doing vigorous physical activity on each day<br>of the week varies a lot, give an average of the time you spend doing vigorous<br>physical activity.<br></i></td></tr></table><p>This information was collected from participants who indicated that they did vigorous physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F904~
924	Usual walking pace	ACE touchscreen question "How would you describe your usual walking pace? "<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Slow pace is defined as less than 3 miles per hour.<br>Steady average pace is defined as between 3-4 miles per hour.<br>Fast pace is defined as more than 4 miles per hour.<br></i></td></tr></table><p>~F924~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~
943	Frequency of stair climbing in last 4 weeks	ACE touchscreen question "At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F943~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~
971	Frequency of walking for pleasure in last 4 weeks	ACE touchscreen question "How many times in the last 4 weeks did you go walking for pleasure?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F971~ was collected from participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~
981	Duration walking for pleasure	ACE touchscreen question "Each time you went walking for pleasure, about how long did you spend doing it?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F981~ was collected from all participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~
991	Frequency of strenuous sports in last 4 weeks	ACE touchscreen question "How many times in the last 4 weeks did you do strenuous sports?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F991~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~
1001	Duration of strenuous sports	ACE touchscreen question "Each time you did strenuous sports, about how long did you spend doing it?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1001~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~
1011	Frequency of light DIY in last 4 weeks	ACE touchscreen question "How many times in the last 4 weeks did you do light DIY?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1011~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~
1021	Duration of light DIY	ACE touchscreen question "Each time you did light DIY, about how long did you spend doing it?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1021~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~
1031	Frequency of friend/family visits	ACE touchscreen question "How often do you visit friends or family or have them visit you?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies, please give an average of how often<br>you visit or have had visits in the last year.<br>Include meeting with friends or family in environments<br>outside of the home such as in the park, at a sports<br>field, at a restaurant or pub.<br></i></td></tr></table>
1050	Time spend outdoors in summer	ACE touchscreen question "In a typical DAY in summer, how many hours do you spend outdoors?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend outdoors in summer varies a lot, give the<br>average time per day. For example if you spend 1 hour a day on each<br>weekday and 4 hours a day on the weekend, the total hours in a week<br>is 13 (5 + 8), so you spend approximately 2 hours a day.<br></i></td></tr></table>
1060	Time spent outdoors in winter	ACE touchscreen question "In a typical DAY in winter, how many hours do you spend outdoors?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 10 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend outdoors in winter varies a lot, give the<br>average time per day. For example if you spend 1 hour a day on each<br>weekday and 4 hours a day on the weekend, the total hours in a week<br>is 13 (5 + 8), so you spend approximately 2 hours a day.<br></i></td></tr></table>
1070	Time spent watching television (TV)	ACE touchscreen question "In a typical DAY, how many hours do you spend watching TV? (Put 0 if you do not spend any time doing it)"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 8 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend watching TV varies a lot, give<br>the average time for a 24 hour day in the last 4 weeks.<br></i></td></tr></table>
1080	Time spent using computer	ACE touchscreen question "In a typical DAY, how many hours do you spend using the computer? (Do not include using a computer at work; put 0 if you do not spend any time doing it)" <p>The following checks were performed: <ul> <li>If answer < 0 then rejected</li> <li>If answer > 24 then rejected</li> <li>If answer > 6 then participant asked to confirm</li> </ul> <p>If the participant activated the Help button they were shown the message: <br> <table> <tr><td><i>If the time you spend on the computer varies a lot, give the average <br>time for a 24 hour day in the last 4 weeks. Remember not to include <br>time spent on a computer at work. <br></i></td></tr> </table> <p> This question was first asked in 2006 so needs to be interpreted in the light of technological development at that time when computers would generally mean either desktop or laptop PC systems. In 2019 the wording will be changed to<br>"In a typical DAY, how many hours do you spend using a computer/laptop, tablet or smartphone?"
1090	Time spent driving	ACE touchscreen question "In a typical DAY, how many hours do you spend driving?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 24 then rejected</li><li>If answer > 6 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend driving varies a lot, give the average time<br>for a 24 hour day in the last 4 weeks.<br>Include driving a car, bus, motorcycle, boat, truck etc.<br>Include all the driving that you do as part of work, getting to work<br>or outside of work.<br>If you do not drive please enter 0.<br></i></td></tr></table>
1100	Drive faster than motorway speed limit	ACE touchscreen question "How often do you drive faster than the speed limit on the motorway?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table> <p> At the time of asking (2006) the UK motorway speed limit was 70miles/hour.
1110	Length of mobile phone use	ACE touchscreen question "For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Do not include time spent text messaging.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1120	Weekly usage of mobile phone in last 3 months	ACE touchscreen question "Over the last 3 months, on average how much time per week did you spend making or receiving calls on a mobile phone?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1120~ was collected from participants who indicated they have used a mobile phone at least once per week in the past or do not know whether they have used or not, as defined by their answers to ~F1110~
1130	Hands-free device/speakerphone use with mobile phone in last 3 month	ACE touchscreen question "Over the last 3 months, how often have you used a hands-free device/speakerphone when making or receiving calls on your mobile?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1130~ was collected from participants who indicated they have used a mobile phone at least once per week in the past or do not know whether they have used or not, as defined by their answers to ~F1110~
1140	Difference in mobile phone use compared to two years previously	ACE touchscreen question "Is there any difference between your mobile phone use now compared to two years ago?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1140~ was collected from participants who indicated they have used a mobile phone at least once per week in the past or do not know whether they have used or not, as defined by their answers to ~F1110~
1150	Usual side of head for mobile phone use	ACE touchscreen question "On what side of the head do you usually use a mobile phone?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F1150~ was collected from participants who indicated they have used a mobile phone at least once per week in the past or do not know whether they have used or not, as defined by their answers to ~F1110~
1160	Sleep duration	ACE touchscreen question "About how many hours sleep do you get in every 24 hours? (please include naps)"<p>The following checks were performed:<ul><li>If answer < 1 then rejected</li><li>If answer > 23 then rejected</li><li>If answer < 3 then participant asked to confirm</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If the time you spend sleeping varies a lot, give the<br>average time for a 24 hour day in the last 4 weeks.<br></i></td></tr></table>
1170	Getting up in morning	ACE touchscreen question "On an average day, how easy do you find getting up in the morning?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies a lot, answer this question in relation to the last 4 weeks.<br></i></td></tr></table>
1180	Morning/evening person (chronotype)	ACE touchscreen question "Do you consider yourself to be?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies a lot, answer this question in relation to the last 4 weeks.<br></i></td></tr></table>
1190	Nap during day	ACE touchscreen question "Do you have a nap during the day?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies a lot, answer this question in relation to the last 4 weeks.<br></i></td></tr></table>
1200	Sleeplessness / insomnia	ACE touchscreen question "Do you have trouble falling asleep at night or do you wake up in the middle of the night?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If this varies a lot, answer this question in relation to the last 4 weeks.<br></i></td></tr></table>
1210	Snoring	ACE touchscreen question "Does your partner or a close relative or friend complain about your snoring?"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1220	Daytime dozing / sleeping (narcolepsy)	ACE touchscreen question "How likely are you to doze off or fall asleep during the daytime when you don't mean to? (e.g. when working, reading or driving)"<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
1239	Current tobacco smoking	ACE touchscreen question "Do you smoke tobacco now?"
1249	Past tobacco smoking	ACE touchscreen question "In the past, how often have you smoked tobacco?"<p>~F1249~ was collected from all participants except those who indicated they currently smoke on most or all days, as defined by their answers to ~F1239~
1259	Smoking/smokers in household	ACE touchscreen question "Does anyone in your household smoke?"<p>~F1259~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~
1269	Exposure to tobacco smoke at home	ACE touchscreen question "At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 168 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the number of hours in a typical week over the<br>last year that you have been exposed to other people's tobacco<br>smoke in the home environment.<br></i></td></tr></table><p>~F1269~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~
1279	Exposure to tobacco smoke outside home	ACE touchscreen question "Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 168 then rejected</li><li>If answer > 100 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please give the number of hours in a typical week over the<br>last year that you have been exposed to other people's tobacco<br>smoke in environments other than the home (include work, pubs,<br>restaurants etc).<br></i></td></tr></table><p>~F1279~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~
1289	Cooked vegetable intake	ACE touchscreen question "On average how many heaped tablespoons of COOKED vegetables would you eat per DAY? (Do not include potatoes; put '0' if you do not eat any)"<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have less than one tablespoon a day select Less than one.<br></i></td></tr></table>
1299	Salad / raw vegetable intake	ACE touchscreen question "On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY? (Include lettuce, tomato in sandwiches; put '0' if you do not eat any)"<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br>If you have less than one tablespoon a day select Less than one.<br></i></td></tr></table>
1309	Fresh fruit intake	ACE touchscreen question "About how many pieces of FRESH fruit would you eat per DAY? (Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)"<p>The following checks were performed:<ul><li>If answer > 50 then rejected</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Please provide an average considering your intake over the last year.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table>
